Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
It's a Wonderful Life,1946,Frank Capra,8.33,,,7.9,,,,,,,8.6,8.5
Lolita ,1962,Stanley Kubrick,8.33,8.6,,8,,8.4,,,,,,
Forrest Gump,1994,Robert Zemeckis,8.33,7.8,8.2,8,8.5,8.3,8,,8.4,,9,8.8
Raging Bull,1980,Martin Scorsese,8.33,8.6,,,,8.3,,,,,8.2,8.2
The Matrix,1999,"Lana Wachowski, Lilly Wachowski",8.32,7.8,,8.8,8,8.5,8.5,,,,,
Three Colors: Red,1994,Krzysztof Kieslowski,8.3,,8,8.7,,8,8.5,,,,,
Son of Saul,2015,László Nemes,8.3,,,,,8.3,,,,,,
The Bridge on the River Kwai,1957,David Lean,8.3,8.5,,,,8.1,,,,,,
Warrior ,2011,Gavin O'Connor,8.3,8.3,,,,,,,,,,
Downfall ,2004,Oliver Hirschbiegel,8.3,8.5,8.5,,8,8.9,,8,7.9,,,
The Shining,1980,Stanley Kubrick,8.3,8.5,,8.1,,8.4,8.9,,,,7.9,8
Rango,2011,Gore Verbinski,8.28,7.6,8.6,8,8.5,,,,8.7,,,
The Legend of 1900,1998,Giuseppe Tornatore,8.27,8.3,,8.5,,,8,,,,,
American History X,1998,Tony Kaye,8.27,,,,,7.9,,,,,8.5,8.4
Saving Private Ryan,1998,Steven Spielberg,8.26,8,8,8,8,8.6,,8.1,,,8.8,8.6
Rope,1948,Alfred Hitchcock,8.25,8.7,8,9,,8.2,,,,,7.7,7.9
Melancholia,2011,Lars von Trier,8.25,8.5,,8.5,,8.1,,,7.9,,,
Strangers on a Train,1951,Alfred Hitchcock,8.25,,,8.5,,8,,,,,,
Serpico,1973,Sidney Lumet,8.25,8.6,,,,7.9,,,,,,
Dogville,2003,Lars von Trier,8.25,,,9,,7.5,,,,,,
Gold Rush,1925,Charles Chaplin,8.25,7.5,,9,,,,,,,,
City of God,2002,"Fernando Meirelles, Kátia Lund",8.23,8.6,8.7,,,8.1,,7.9,,,8,8.1
Hotel Rwanda ,2004,Terry George,8.23,8.2,,,,8,,8.5,,,,
City Lights,1931,Charles Chaplin,8.23,8.5,8.3,8.1,,8,,,,,,
Mulholland Drive,2001,David Lynch,8.22,7.9,,,,8.8,8.5,,,,7.9,8
My Neighbor Totoro ,1988,Hayao Miyazaki,8.2,8.2,,8,,,,,,,8.2,8.4
Spartacus,1960,Stanley Kubrick,8.2,7.9,,8.5,,8.2,,,,,,
The 400 Blows,1959,François Truffaut,8.2,,,,,8.2,,,,,,
In the Mood for Love,2000,Kar-Wai Wong,8.2,,,,,8.2,,,,,,
Anatomy of a Murder,1959,Otto Preminger,8.2,,,,,8.2,,,,,,
Doctor Zhivago,1965,David Lean,8.2,8.2,,,,,,,,,,
Cloverfield,2008,Matt Reeves,8.2,8.2,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,8.2,8.8,,8.5,9,7.4,,,7.8,,7.9,8
Scarface,1983,Brian De Palma,8.18,7.8,,7.5,9,8.2,,,,,8.2,8.4
Fantastic Mr.Fox,2009,Wes Anderson,8.18,7.9,8.8,8,,,,,8,,,
Casablanca,1942,Michael Curtiz,8.17,,,,,8.1,,,,,8.2,8.2
Memories of Murder,2003,Bong Joon Ho,8.17,,,,,8.3,,,,,8,8.2
Rebecca,1944,Alfred Hitchcock,8.17,,,,,8.2,,,,,8.2,8.1
Rashomon,1950,Akira Kurosawa,8.17,8.2,,8,,8.3,,,,,,
The King's Speech,2010,Tom Hooper,8.15,8.3,,,,,8,,,,,
For a Few Dollars More,1965,Sergio Leone,8.15,8.5,,,,7.8,,,,,,
The Usual Suspects,1995,Bryan Singer,8.14,8.2,,7.9,,8,,,,,8.3,8.3
The Prestige,2006,Christopher Nolan,8.13,7.5,7.7,8,,8.5,,,8.1,,8.6,8.5
Letters from Iwo Jima,2006,Clint Eastwood,8.1,8.3,,,,7.9,,,,,,
A Short Film About Killing,1988,Krzysztof Kieslowski,8.1,,8.1,8.1,,,,,,,,
Antichrist,2009,Lars von Trier,8.1,,8,8.2,,,,,,,,
Mad Max: Fury Road,2015,George Miller,8.1,8.5,,7.5,,8.5,,,,,8,8
The Irishman,2019,Martin Scorsese,8.1,8.3,,,9,8.1,,8,7.1,,,
Aliens,1986,James Cameron,8.1,8.1,,,,8.1,,,,,,
Talk to Her,2002,Pedro Almodóvar,8.1,,,,,8.1,,,,,,
I Saw the Devil,2010,Jee-woon Kim,8.1,,,,,8.1,,,,,,
Following,1998,Christopher Nolan,8.1,,,,,8.1,,,,,,
Burning,2018,Chang-dong Lee,8.1,,,,,8.1,,,,,,
A Fistful of Dollars,1964,Sergio Leone,8.1,8.4,,,,7.8,,,,,,
Signs,2002,M. Night Shyamalan,8.1,8.1,,,,,,,,,,
Killing Them Softly,2012,Andrew Dominik,8.1,8.1,,,,,,,,,,
The Sixth Sense,1999,M. Night Shyamalan,8.08,8.2,7.3,,,8.2,,,,,8.4,8.3
Full Metal Jacket,1987,Stanley Kubrick,8.08,8.2,8.2,7.7,,8.2,,,,,,
The Truman Show,1998,Peter Weir,8.07,7.6,,7.9,,8.1,8.5,,,,8.1,8.2
The Hateful Eight,2015,Quentin Tarantino,8.07,8.4,,8,,7.8,,,,,,
Glengarry Glen Ross,1992,James Foley,8.05,8.6,8.4,7.3,,7.9,,,,,,
Isle of Dogs,2018,Wes Anderson,8.05,8,8.1,,,,,,,,,
Chinatown,1974,Roman Polanski,8.05,,,7,,8.7,,,,,8.2,8.3
Dogtooth,2009,Yorgos Lanthimos,8.05,,,8.6,,7.5,,,,,,
The Message,1976,Moustapha Akkad,8.03,7.6,8,,,8.5,,,,,,
The Double Life of Véronique,1991,Krzysztof Kieslowski,8.03,7.4,7.6,9.1,,,,,,,,
Braveheart,1995,Mel Gibson,8.03,8.5,,7.5,,8.1,,,,,,
The Grand Budapest Hotel,2014,Wes Anderson,8.01,8.6,8.7,8.3,,7.4,8.7,,,,7.1,7.3
Goodfellas,1990,Martin Scorsese,8,,8.3,7.5,,8.2,,,,,,
A Prophet,2009,Jacques Audiard,8,,8,,,8,,,,,,
Ugetsu,1953,Kenji Mizoguchi,8,,8,,,,,,,,,
Dog Day Afternoon,1975,Sidney Lumet,8,8.1,,7.9,,7.8,,,,,8,8.2
My Left Foot,1989,Jim Sheridan,8,,,7.9,,,,,,,8,8.1
A Serious Man,2009,"Ethan Coen, Joel Coen",8,,,,,,,,8,,,
Heat,1995,Michael Mann,8,8.5,,7.2,9,8,,,7.3,,,
Unforgiven,1992,Clint Eastwood,8,,,,,8,,,,,,
To Kill a Mockingbird,1962,Robert Mulligan,8,,,,,8,,,,,,
The Searchers,1956,John Ford,8,,,,,8,,,,,,
The Deer Hunter,1978,Michael Cimino,8,,,,,8,,,,,,
Lost Highway,1997,David Lynch,8,,,,,8,,,,,,
Le Samouraï,1967,Jean-Pierre Melville,8,,,,,8,,,,,,
Cool Hand Luke,1967,Stuart Rosenberg,8,,,,,8,,,,,,
The Killing,1956,Stanley Kubrick,8,8.2,,,,7.8,,,,,,
Nausicaa of the Valley of the Wind ,1984,Hayao Miyazaki,8,7.5,,8.5,,,,,,,,
The Passion of Anna,1969,Ingmar Bergman,8,,,8,,,,,,,,
Blind Chance,1987,Krzysztof Kieslowski,8,,,8,,,,,,,,
The Last of the Mohicans,1992,Michael Mann,8,8.1,,7.9,,,,,,,,
The Story of O,1975,Just Jaeckin,8,8,,,,,,,,,,
