Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
The wizard of OZ,1939,Victor Fleming,7.5,,,7.5,,,,,,,,
Riders of Justice,2020,Anders Thomas Jensen,7.5,,,,,7.5,,,,,,
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,7.46,7.5,,8.5,8,7.1,,,7,,7,7.1
The Father,2020,Florian Zeller,7.45,,7.4,7.5,,,,,,,,
The Handmaiden,2016,Chan-wook Park,7.45,,,,,7.9,,,,7,,
The Graduate,1967,Mike Nichols,7.45,7.3,,,,7.6,,,,,,
Batman Returns,1992,Tim Burton,7.45,,,7.1,7.8,,,,,,,
The Hunt,2012,Thomas Vinterberg,7.43,,7,,,8.1,,,7.2,,,
Sabrina,1954,Billy Wilder,7.43,,,8,,,,,,,7.1,7.2
Memento,2000,Christopher Nolan,7.42,6.4,6.9,8,,7.8,,,,8,,
Eastern Promises,2007,David Cronenberg,7.4,,,,,7.7,,,7.1,,,
Casino Royale,2006,Martin Campbell,7.4,6.8,,,,8,,,,,,
The Exorcist,1973,William Friedkin,7.4,7,,,,7.8,,,,,,
Cast Away,2000,Robert Zemeckis,7.4,7,,,,7.8,,,,,,
9,2009,Shane Acker,7.4,6.5,,8.3,,,,,,,,
The King of Comedy,1982,Martin Scorsese,7.4,,,7.4,,,,,,,,
Avanti!,1972,Billy Wilder,7.4,,,7.4,,,,,,,,
The Last Emperor,1987,Bernardo Bertolucci,7.4,7.4,,,,,,,,,,
The Diving Bell and the Butterfly,2007,Julian Schnabel,7.4,7.4,,,,,,,,,,
Nosferatu,1922,,7.4,7.4,,,,,,,,,,
Frost/Nixon,2008,Ron Howard,7.4,7.4,,,,,,,,,,
Ford v Ferrari,2019,James Mangold,7.4,7,,,,7.8,,,,,,
Just 6.5,2019,Saeed Roustayi,7.4,7,7.4,,,7.8,,,,,,
Nebraska,2013,Alexander Payne,7.4,7.2,7.3,7.7,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,7.4,6.9,,7.6,,7.7,,,,,,
The Lion King,1994,,7.4,7.5,,7.2,7.5,,,,,,,
Fury,2014,David Ayer,7.38,6.9,,,8,7.1,,7.5,7.4,,,
The Secret in Their Eyes,2009,Juan José Campanella,7.38,6.5,7.5,,,8.7,,,6.8,,,
Nocturnal Animals,2016,Tom Ford,7.38,7,,,,7.8,7.5,,7.2,,,
The Social Network,2010,David Fincher,7.38,7,,7.5,,,,7.5,7.5,,,
The Trial of the Chicago 7,2020,Aaron Sorkin,7.38,7.3,,7,,,,8.5,6.7,,,
The Professional,1981,Georges Lautner,7.37,,7,,,7.9,,7.2,,,,
Another Round,2020,Thomas Vinterberg,7.37,6.3,7.8,8,,,,,,,,
Lincoln,2012,Steven Spielberg,7.37,7.1,,,,8,,,7,,,
3:10 to Yuma,2007,James Mangold,7.37,7.2,,,7,7.9,,,,,,
Black Swan,2010,Darren Aronofsky,7.36,6.7,,7.5,,7.9,,8,6.7,,,
The Imitation Game,2014,Morten Tyldum,7.35,7,7,7,7.2,7.9,,,8,,,
The Master,2012,Paul Thomas Anderson,7.35,,7,,,7.7,,,,,,
Gloomy Sunday (The Piano Player),1999,Rolf Schubel,7.35,,7,,,,,,7.7,,,
Enemy at the Gates,2001,Jean-Jacques Annaud,7.35,,6.9,,,7.8,,,,,,
Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,7.35,,,,7.1,7.6,,,,,,
Looper,2012,Rian Johnson,7.35,,,,,7.4,,,7.3,,,
Unbreakable,2000,M. Night Shyamalan,7.35,7.5,,,,7.2,,,,,,
"Salò, or the 120 Days of Sodom",1975,Pier Paolo Pasolini,7.35,8,,,,6.7,,,,,,
Edward Scissorhands,1990,Tim Burton,7.35,6.8,,7.9,,,,,,,,
The Lobster,2015,Yorgos Lanthimos,7.33,6.9,7.5,7.4,,7.8,,6.9,7.5,,,
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,7.33,6.8,7.5,,,7.7,,,,,,
Coco,2017,,7.32,7.1,7.3,7,,,,7.5,7.5,7.5,,
K-PAX,2001,Iain Softley,7.3,7.4,,7.2,,,,,,,,
Zodiac,2007,David Fincher,7.3,7.4,7,7.6,,7.6,,,6.9,,,
My life as a Courgette,2016,Claude Barras,7.3,,7.3,,,,,,,,,
Soul,2020,Peter Docter,7.3,6.9,7,8.5,,,,,6.8,,,
The Great Gatsby,2013,Baz Luhrmann,7.3,7.2,,,,7.7,,,7,,,
Jaws,1975,Steven Spielberg,7.3,6.8,,,,7.8,,,,,,
The Body,2012,Oriol Paulo,7.3,,,,,7.3,,,,,,
Shadow,2018,Yimou Zhang,7.3,,,,,7.3,,,,,,
Mosul,2019,Matthew Michael Carnahan,7.3,,,,,7.3,,,,,,
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,7.3,,,,,7.3,,,,,,
13 Assassins,2010,Takashi Miike,7.3,,,,,7.3,,,,,,
Inglourious Bastards,2007,Quentin Tarantino,7.3,7,,7.2,8.2,6.8,,,,,,
Ernest & Celestine,2012,,7.3,7.3,,,,,,,,,,
The Wolf of Wall Street,2013,Martin Scorsese,7.3,6.8,7,7,8,8,,7,7.3,,,
The Revenant,2015,Alejandro G. Iñárritu,7.28,7,7,6.5,,8.6,,,,,,
Klaus,2019,Sergio Pablos,7.25,,7,7.5,,,,,,,,
The Others,2001,Alejandro Amenábar,7.25,7,,,,7.5,,,,,,
men in black,1997,,7.25,7,,,7.5,,,,,,,
Nymphomaniac: Vol. I,2013,Lars von Trier,7.23,7.3,,8,,6.4,,,,,,
Finding Nemo,2003,,7.23,7.5,,7,,,,,7.2,,,
The Green Mile,1999,Frank Darabont,7.23,7.3,,6.9,,7.5,,,,,,
The Dark Knight Rises,2012,Christopher Nolan,7.23,5.6,6.5,7.5,7.2,8.3,,,7.7,7.8,,
Hacksaw Ridge,2016,Mel Gibson,7.23,6.6,,,,7.7,,6.8,7.8,,,
Face/Off,1997,John Woo,7.2,6.7,,6.9,7.8,7.4,,,,,,
I lost my body,2019,Jeremy Clapin,7.2,,7.2,,,,,,,,,
10 Cloverfield Lane,2016,Dan Trachtenberg,7.2,6.3,,,,7.8,,,7.5,,,
Ex Machina,2014,Alex Garland,7.2,,,6.9,,7.5,,,,,,
The Matrix Reloaded,2003,"Lana Wachowski, Lilly Wachowski",7.2,,,,,7.2,,,,,,
The Looming Storm,2017,Yue Dong,7.2,,,,,7.2,,,,,,
The Hurt Locker,2008,Kathryn Bigelow,7.2,,,,,7.2,,,,,,
The French Connection,1971,William Friedkin,7.2,,,,,7.2,,,,,,
Match Point,2005,Woody Allen,7.2,,,7.2,,,,,,,,
Bonnie and Clyde,1967,Arthur Penn,7.2,,,7.2,,,,,,,,
Big Eyes,2014,Tim Burton,7.2,,,7.2,,,,,,,,
The Visit,2015,,7.2,7.2,,,,,,,,,,
The Shape of Water,2017,,7.2,7.2,,,,,,,,,,
The Piano Teacher,2001,Michael Haneke,7.2,7.2,,,,,,,,,,
All the money in the world,2017,,7.2,7.2,,,,,,,,,,
Gerald's Game,2017,Mike Flanagan,7.2,7.2,,,,,,,,,,
Breaking the Wave,1996,Lars Von Trier,7.2,,,7.2,,,,,,,,
yes man,2008,,7.2,6.6,,,7.8,,,,,,,
Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,7.2,6.8,,7.6,,,,,,,,
Catch Me If You Can,2002,Steven Spielberg,7.18,7.2,,6.9,7.3,7.5,,,7,,,
Get Out,2017,Jordan Peele,7.17,7.1,,,,7.4,,7,,,,
Mystic River,2003,Clint Eastwood,7.17,6.6,,,,7.8,,,7.1,,,
"Monsters, Inc",2001,,7.17,6.9,,7,,7.6,,,,,,
The Nice Guys,2016,Shane Black,7.17,7.1,,,,7.2,,,7.2,,,
Finding Steve McQueen,2019,Mark Steven Johnson,7.15,8.1,,,,,,,6.2,,,
Shame,2011,Steve McQueen,7.15,6.2,,,,8.1,,,,,,
Bad Boys II,2003,Michael Bay,7.15,,,,8,6.3,,,,,,
Mary and Max,,,7.15,7.2,,7.1,,,,,,,,
Ted,2012,Seth MacFarlane,7.15,6.8,,,7.5,,,,,,,
Avatar,2009,James Cameron,7.14,6,6.9,8.1,,7.9,,,6.8,,,
12 Years a Slave,2013,Steve McQueen,7.13,6.8,6.5,,,8.1,,,,,,
Troy,2004,Wolfgang Petersen,7.13,6,,,8,7.4,,,,,,
The Conjuring,2013,James Wan,7.13,7.3,,,6.5,7.6,,,,,,
The Best Offer,2013,Giuseppe Tornatore,7.13,6.8,,8,,6.6,,,,,,
Skyfall,2012,Sam Mendes,7.13,6.7,,,7,7.7,,,,,,
The Curious Case of Benjamin Button,2008,David Fincher,7.1,,7,7.5,,6.8,,,,,,
Charlie and the Chocolate Factory,2005,Tim Burton,7.1,6.4,,7.5,,,,,7.4,,,
Insomnia,2002,Christopher Nolan,7.1,7.2,,6.7,,7.4,,,,,,
Kill Bill: Vol. 2,2004,Quentin Tarantino,7.1,6.8,,7.5,,7,,,,,,
Kill Bill: Vol. 1,2003,Quentin Tarantino,7.1,6.8,,7.5,,7,,,,,,
The Guard,2011,John Michael McDonagh,7.1,7.2,7,,,,,,,,,
Nightcrawler,2014,Dan Gilroy,7.1,,,,,7.2,,,7,,,
The Count of Monte Cristo,2002,Kevin Reynolds,7.1,6.4,,,,7.8,,,,,,
Irreversible,2002,Gaspar Noé,7.1,,,,,7.1,,,,,,
A Bittersweet Life,2005,Jee-woon Kim,7.1,,,,,7.1,,,,,,
the jungle book,2016,,7.1,7.1,,,,,,,,,,
Roman Holiday,1953,,7.1,7.1,,,,,,,,,,
One A.M.,1916,,7.1,7.1,,,,,,,,,,
Minuscule - Valley of the Lost Ants,2013,,7.1,7.1,,,,,,,,,,
Fanny and Alexander,1982,Ingmar Bergman,7.1,7.1,,,,,,,,,,
Everybodys Fine,2009,,7.1,7.1,,,,,,,,,,
The Invitation,2015,Karyn Kusama,7.1,7.1,,,,,,,,,,
Spotlight,2015,Tom McCarthy,7.1,7,7.2,7.3,7,6.9,,7.5,6.8,,,
Starred Up,2013,David Mackenzie,7.1,,,,,7.1,,,,,,
Malena,2000,Giuseppe Tornatore,7.08,6.4,,7.5,,7.5,,,6.9,,,
The Invisible Guest,2016,Oriol Paulo,7.07,,6.7,,,7.5,,,7,,,
Jurassic Park,1993,Steven Spielberg,7.07,6.9,,,7.3,7,,,,,,
Kiki Delivery Service,1989,Hayao Miyazaki,7.05,6.9,,7.2,,,,,,,,
A Good Year,2006,,7.05,6.9,,7.2,,,,,,,,
King Kong,2005,Peter Jackson,7.05,7.2,,6.9,,,,,,,,
the man who wasn’t there,,"Joel Coen, Ethan Coen",7.05,,7.1,7,,,,,,,,
Darkest Hour,2017,Joe Wright,7.05,,7,,,,,,7.1,,,
who am I,2014,,7.05,7,,,,,,,7.1,,,
12 Monkeys,1995,Terry Gilliam,7.05,7,,,,7.1,,,,,,
harry potter and the half blood prince,,,7.05,6.5,,,7.6,,,,,,,
Big Fish,2003,,7.05,6.5,,7.6,,,,,,,,
Some Like it Hot,1959,Billy Wilder,7.05,7.1,,7,,,,,,,,
goyas ghosts,,,7.05,7.1,,7,,,,,,,,
Up,2009,,7.03,6.9,,7.2,,,,,7,,,
harry potter and the deathly hallows 1,,,7.03,7,,6.6,,,,7.5,,,,
The Terminator,1984,James Cameron,7.03,7,,,6.5,7.6,,,,,,
toystory3,,,7.03,6.8,6.8,7.1,,,,,7.4,,,
Tenet,2020,Christopher Nolan,7.03,,6,,8,7.5,,,6.6,,,
The Conformist,1970,Bernardo Bertolucci,7,,7,,,,,,,,,
Only Yesterday,1991,Takahata,7,,7,,,,,,,,,
a million dollar baby,2004,Clint Eastwood,7,7,7,,,,,7,,,,
A Quiet Place,2018,John Krasinski,7,7.3,6.7,,,7,,,7,,,
The Salesman,2016,Asghar Farhadi,7,6.9,6.6,7,,7.5,,,,,,
Zootopia,,,7,6.9,,7.2,,,,,6.9,,,
The Favourite,2018,Yorgos Lanthimos,7,6,,,,8,,,,,,
The Conversation,1974,Francis Ford Coppola,7,,,,,7,,,,,,
Manhunter,1986,Michael Mann,7,,,,,7,,,,,,
Wild,2014,Jean Mark Vallee,7,,,7,,,,7,,,,
The Song of Bernadette,,,7,,,7,,,,,,,,
Tully,2018,,7,7,,,,,,,,,,
to rome with love,2012,,7,7,,,,,,,,,,
The Visitors,,,7,7,,,,,,,,,,
the reader,,,7,7,,,,,,,,,,
The Pirates! Band of Misfits,2012,,7,7,,,,,,,,,,
the patriot,,,7,7,,,,,,,,,,
stealing beauty,1996,,7,7,,,,,,,,,,
Slumdog Millionaire,2008,,7,7,,,,,,,,,,
Red Dragon,2002,,7,7,,,,,,,,,,
Never Let Me Go,2010,,7,7,,,,,,,,,,
Chappie,2015,,7,7,,,,,,,,,,
Ace Ventura: pet detective,1994,,7,7,,,,,,,,,,
Martha Marcy May Marlene,2011,Sean Durkin,7,7,,,,,,,,,,
Hush,2016,Mike Flanagan,7,7,,,,,,,,,,
The Good Girl,2002,Miguel Arteta,7,7,,,,,,,,,,
End of Watch,2012,David Ayer,7,7,,,,,,,,,,
The Assasination of Jesse James by the Coward Robet Ford,2007,Andrew Dominik,7,7,,,,,,,,,,
The Dig,2021,Simon Stone,7,7,,,,,,,,,,
From dust Till Dawn,1996,,7,,,7,,,,,,,,
The devil wears prada,2006,,7,,,7,,,,,,,,
9 (animated movie),2009,Shane Acker,7,,,7,,,,,,,,
Red Sparrow,2018,,7,,,7,,,,,,,,
Prisoners,2013,Denis Villeneuve,6.98,6.5,6.5,,,7.6,,,7.3,,,
Lawless ,2012,John Hillcoat,6.97,6.9,7,7,,,,,,,,
Whiplash,2014,Damien Chazelle,6.97,6.3,,7,,7.6,,,,,,
Anger Managment,2003,,6.97,7,,5.9,8,,,,,,,
harry potter and the goblet of fire,,,6.97,6.5,,6.9,7.5,,,,,,,
Chicken Run,2000,,6.97,6.9,,7,7,,,,,,,
Kung Fu Panda,,,6.95,7.5,7,6.3,7,,,,,,,
Your Name,2016,,6.9,,6.9,,,,,,6.9,,,
Wind River,2017,Taylor Sheridan,6.95,,6.4,,,7.5,,,,,,
A Quiet Place Part II,2020,John Krasinski,6.95,,,,,6.9,,,7,,,
127 hours,2010,,7,7,,,,,,,,,,
The Big Lebowski,1998,"Joel Coen, Ethan Coen",6.95,,,6.9,,7,,,,,,
Unhinged,2020,Derrick Borte,6.95,6.9,,7,,,,,,,,
Inside Llewyn Davis,2009,"Ethan Coen, Joel Coen",6.85,6.6,,,,,,,7.1,,,
The Machinist,2004,Brad Anderson,6.93,,6.9,6.9,,7,,,,,,
Sicario,2015,Denis Villeneuve,6.93,6.2,,7.5,,7.1,,,,,,
Prometheus,2012,Ridley Scott,6.9,7.2,,6.4,,7.1,,,,,,
District 9 ,2009,Neill Blomkamp,6.9,7.1,6.7,,,,,,,,,
American Beauty,1999,Sam Mendes,6.9,6.5,6.5,7.1,,7.5,,,,,,
The Iceman,2012,Ariel Vromen,6.9,,,,,6.9,,,,,,
Indiana Jones and the Last Crusade,1989,Steven Spielberg,6.9,,,,,6.9,,,,,,
The Aviator,2004,Martin Scorsese,6.9,6.6,,7.2,,,,,,,,
Annie Hall,1977,Woody Allen,6.9,6.7,,7.1,,,,,,,,
Underdogs,2013,,6.9,6.8,,7,,,,,,,,
The Last Temptation of Christ,1988,Martin Scorsese,6.9,6.8,,7,,,,,,,,
Tomb Raider,2018,,6.9,,,6.9,,,,,,,,
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",6.9,,,6.9,,,,,,,,
Dark Shadows,2012,Tim Burton,6.9,,,6.9,,,,,,,,
Batman,1989,Tim Burton,6.9,,,6.9,,,,,,,,
Waterloo,1970,Sergey Bondarchuk,6.8,6.9,,,,6.7,,,,,,
The way way back,2013,,6.9,6.9,,,,,,,,,,
The Road,2009,,6.9,6.9,,,,,,,,,,
The Mission,1986,,6.9,6.9,,,,,,,,,,
The Kids Are All Right,2010,Lisa Cholodenko,6.9,6.9,,,,,,,,,,
The Girl Who Played with Fire,2009,Daniel Alfredson,6.9,6.9,,,,,,,,,,
Robin Hood,2010,,6.9,6.9,,,,,,,,,,
Here Comes the Boom,2012,,6.9,6.9,,,,,,,,,,
The Gift,2015,Joel Edgerton,6.9,6.9,,,,,,,,,,
Real Steel,2011,Shawn Levy,6.9,6.9,,,,,,,,,,
coda,2021,sian heder,6.9,,,,,,,,6.9,,,
Tropic Thunder,2008,Ben Stiller,6.9,6.8,,7,,,,,,,,
Dune,2021,,6.9,,,,,,,,6.9,,,
The Past,2013,Asghar Farhadi,6.9,6.5,,7.1,,7.1,,,,,,
harry potter and the deathly hallows 2,,,6.9,6.9,,6.6,7.2,,,,,,,
Knives Out,2019,Rian Johnson,6.88,5.8,,7,,7.7,,,6.9,7,,
The Hangover,2009,,6.88,6.5,,7.5,7.5,6.5,,,6.4,,,
Perfect Strangers,2016,Paolo Genovese,6.88,6.1,7,,,7.5,,,6.9,,,
Silver Linings Playbook,2012,David O. Russell,6.88,6.2,6.8,7,,7.5,,,,,,
The Fountain,2006,Darren Aronofsky,6.88,6.6,,7,,7.4,,,6.5,,,
Wreck-It Ralph,2012,,6.87,6.9,6.8,,,,,,6.9,,,
Love and other drugs,2010,,6.85,,,6.9,,,,,6.8,,,
50/50,2011,Jonathan Levine,6.85,6.7,7,,,,,,,,,
home alone 1,,,6.85,6.9,,7,6.5,,,7,,,,
The Thing,1982,John Carpenter,6.83,6.8,6.9,,,6.8,,,,,,
Joker,2019,Todd Phillips,6.83,7.7,,,5,7.4,,,7.2,,,
Her,2013,Spike Jonze,6.82,6.3,,7.3,,8,,6,6.5,,,
The Adventures of Tintin,,,6.8,6.7,,6.9,,,,,,,,
A Dangerous Method,2011,,6.8,6.7,,6.9,,,,,,,,
Tinker Tailor Soldier Spy,2011,Tomas Alfredson,6.8,7.1,6.8,,,6.6,,,6.7,,,
the boss baby,2017,,6.8,7,,,,,,,6.6,,,
The Man from Nowhere,2010,Jeong-beom Lee,6.8,,,,,6.8,,,,,,
The Witch,2015,Robert Eggers,6.8,,,,,6.8,,,,,,
The Matrix Revolutions,2003,"Lana Wachowski, Lilly Wachowski",6.8,,,,,6.8,,,,,,
Frida,2002,Julie Taymor,6.8,,,,,6.8,,,,,,
The Intern,2015,,6.8,,,6.8,,,,,,,,
Manhattan,,,6.8,,,6.8,,,,,,,,
War Horse,2011,,6.8,6.8,,,,,,,,,,
War Dogs,2016,,6.8,6.8,,,,,,,,,,
The Ten Commandments,,,6.8,6.8,,,,,,,,,,
the meyerowitz stories,,,6.8,6.8,,,,,,,,,,
The Last Lions,2011,,6.8,6.8,,,,,,,,,,
get the gringo,2012,,6.8,6.8,,,,,,,,,,
cell 211,2009,,6.8,6.8,,,,,,,,,,
Agora,2009,Alejandro Amenabar,6.8,6.8,,,,,,,,,,
Death Proof,2007,Quintine Tarantino,6.8,,,6.8,,,,,,,,
The Endless,2017,Justin Benson,6.8,,6.8,,,,,,,,,
Batman Begins,2005,Christopher Nolan,6.78,5.4,6.4,7,7.3,7.8,,,,,,
Portrait of a Lady on Fire,2019,Céline Sciamma,6.78,5.7,6.5,,,8.4,,,6.5,,,
Baby Driver,2017,Edgar Wright,6.78,6.7,,,6.5,7,,,6.9,,,
The Perks of Being a Wallflower,2012,Stephen Chbosky,6.77,6,,,,7.3,,,7,,,
Blue Is the Warmest Colour,2013,Abdellatif Kechiche,6.76,5.9,,,7.8,8.1,,6.2,5.8,,,
The Martian,2015,Ridley Scott,6.75,6.3,6.5,8.1,,7.1,,6,6.5,,,
500 Days of Summer,2009,Marc Webb,6.75,,6.6,,,7.1,,,6.8,6.5,,
Cloudy with a Chance of Meatballs,,,6.75,6.7,,6.5,,,,,6.8,7,,
Minions,2015,,6.75,6.7,,,,,,,6.8,,,
Limitless,2011,Neil Burger,6.75,7,,,,6.5,,,,,,
The Next Three Days,2010,,6.75,6.5,,,7,,,,,,,
Little Miss Sunshine,2016,"Valerie Faris, Jonathan Dayton",6.75,8.6,,4.9,,,,,,,,
despicable me 1,,,6.75,7,,,6.5,,,,,,,
Ralph breaks the internet,2018,,6.73,6.6,,,6,,,,7.6,,,
Ratatouille,2007,,6.7,6.8,6.7,6.5,6.8,,,,,,,
Tangerines,2013,Zaza Urushadze,6.7,,6.7,,,,,,,,,
The Constant Gardener,2005,Fernando Meirelles,6.7,,6.2,,,7.2,,,,,,
Doctor Strange,2016,Scott Derrickson,6.7,6,,,,7.1,,,7,,,
The Wailing,2016,Hong-jin Na,6.7,,,,,6.7,,,,,,
The Invisible Man,2020,Leigh Whannell,6.7,,,,,6.7,,,,,,
Straw Dogs,1971,Sam Peckinpah,6.7,,,,,6.7,,,,,,
Revenge,2017,Coralie Fargeat,6.7,,,,,6.7,,,,,,
Lucky,2017,,6.7,,,6.7,,,,,,,,
Welcome to Sarajevo,1997,,6.7,6.7,,,,,,,,,,
the longest yard,2005,,6.7,6.7,,,,,,,,,,
the grey,,,6.7,6.7,,,,,,,,,,
Long Shot,2019,,6.7,6.7,,,,,,,,,,
house of sand and fog,2003,,6.7,6.7,,,,,,,,,,
An Education,2009,,6.7,6.7,,,,,,,,,,
Oculus,2013,Mike Flanagan,6.7,6.7,,,,,,,,,,
hidden figures,2016,,6.7,,,,,,,,6.7,,,
Harry Potter,,,6.67,6,,6.5,7.5,,,,,,,
Alice in Wonderland,2010,Tim Burton,6.67,6.2,,6.9,6.9,,,,,,,
brothers,2009,,6.65,,,,6.5,,,,6.8,,,
The Platform,2019,Galder Gaztelu-Urrutia,6.65,,,,,6.8,,,6.5,,,
The Hunchback of Notre Dame,1996,,6.65,6.3,,7,,,,,,,,
Pig,2021,Michael Sarnoski,6.65,6.5,,,,6.8,,,,,,
The Town,2010,Ben Affleck,6.63,6,,,,7.2,,,6.7,,,
Due date,2010,,6.6,6.2,,,7.2,,,,6.4,,,
Panic Room,2002,David Fincher,6.6,6.3,,7,,,,,6.5,,,
Enemy,2013,Denis Villeneuve,6.6,6,6.5,5.9,,7.7,,,6.9,,,
Deadpool,2016,Tim Miller,6.6,6,,7,7.8,6,,,6.2,,,
Angels & Demons,2009,Ron Howard,6.6,6.6,,,,6.6,,,,,,
Twin Peaks: Fire Walk with Me,1992,David Lynch,6.6,,,,,6.6,,,,,,
The Ring,2002,Gore Verbinski,6.6,,,,,6.6,,,,,,
Indiana Jones and the Raiders of the Lost Ark,1981,Steven Spielberg,6.6,,,,,6.6,,,,,,
Blood Father,2016,Jean-Francois Richet,6.6,6.7,,,,6.5,,,,,,
Nymphomaniac: Vol. II,2013,Lars von Trier,6.6,7.1,,,,6.1,,,,,,
Victoria and Abdul,2017,,6.6,6.6,,,,,,,,,,
The Village,2004,,6.6,6.6,,,,,,,,,,
The Book of Life,2014,,6.6,6.6,,,,,,,,,,
predators,2010,,6.6,6.6,,,,,,,,,,
ParaNorman,2012,,6.6,6.6,,,,,,,,,,
Mr Turner,2014,,6.6,6.6,,,,,,,,,,
jerry maguire,,,6.6,6.6,,,,,,,,,,
Irresistible,2020,Jon Stewart,6.6,6.6,,,,,,,,,,
Gandhi,,,6.6,6.6,,,,,,,,,,
Frank,2014,,6.6,6.6,,,,,,,,,,
Far from the Madding Crowd,2015,,6.6,6.6,,,,,,,,,,
Eden,2012,,6.6,6.6,,,,,,,,,,
Keanu,2016,Peter Atencio,6.6,6.6,,,,,,,,,,
despicable me 2,2013,,6.6,6.2,,,7,,,,,,,
Us,2019,Jordan Peele,6.6,,,,,6.6,,,,,,
The Fault in Our Stars,2014,Josh Boone,6.57,6.3,6.5,6.9,,,,,,,,
Horrible Bosses,2011,Seth Gordon,6.57,6.8,,6,,,,,6.9,,,
Atomic Blonde,2017,David Leitch,6.55,,,,,6.7,,,6.4,,,
Secretary,2002,Steven Shainberg,6.55,6.1,,7,,,,,,,,
incredibles 1,,,6.55,6.6,,,6.5,,,,,,,
The Animatrix,2003,,6.55,6,,7.1,,,,,,,,
The lion king,2019,,6.55,6.1,,,7,,,,,,,
Harry Potter and the philosophers stone,,,6.55,6.1,,,7,,,,,,,
Ip Man,2008,,6.53,6,6.5,,,7.1,,,,,,
Gravity ,2013,Alfonso Cuarón,6.52,6.1,6,,6.1,7.9,,,6.5,,,
Captain Fantastic,2016,Matt Ross,6.5,6.2,6.9,5.6,,,,,7.3,,,
The Hobbit: The Desolation of Smaug,2013,Peter Jackson,6.5,6.1,6.5,,6.7,6.7,,,,,,
Split,2016,M. Night Shyamalan,6.5,8.1,,,4,7.4,,,,,,
Moana,2016,,6.5,6.1,,6.5,,,,,,6.9,,
venom,2018,,6.5,6.1,,,7,,,,6.4,,,
Serenity,2005,Joss Whedon,6.5,,,,,6.5,,,,,,
The Butterfly Effect,2004,"Eric Bress, J. Mackye Gruber",6.5,,,7.5,,5.5,,,,,,
harry potter and the chamber of secret,,,6.5,6,,6.5,7,,,,,,,
The Captain,2017,,6.5,,,,6.5,,,,,,,
Bad Boys for Life,2020,"Adil El Arbi, Bilall Fallah",6.5,,,,6.5,,,,,,,
Equilibrium,2002,,6.5,6,,7,,,,,,,,
Everything you always wanted to know about sex (but were afraid to ask),1972,Woody Allen,6.5,,,6.5,,,,,,,,
Welcome to the Rileys,2010,,6.5,6.5,,,,,,,,,,
The Last Castle,2001,,6.5,6.5,,,,,,,,,,
The Imaginarium of Doctor Parnassus,2009,,6.5,6.5,,,,,,,,,,
The Book Thief,,,6.5,6.5,,,,,,,,,,
Life,2017,Daniel Espinosa,6.5,6.5,,,,,,,,,,
Exam,2009,Stuart Hazeldine,6.5,6.5,,,,,,,,,,
Dark Places,2015,,6.5,6.5,,,,,,,,,,
Escape from Pretoria,2020,Francis Annan,6.5,6.5,,,,,,,,,,
the ballad of buster scruggs,2018,Coen brothers,6.5,,,,,,,,6.5,,,
the autopsy of jane doe,2017,andre ovredal,6.5,,,,,,,,6.5,,,
Black Widow,2021,,6.5,,,6.5,,,,,,,,
The unknown Woman,2006,Giuseppe Tornatore,6.5,,,6.5,,,,,,,,
Borat,2006,Sacha Baron Cohen,6.5,,,6.5,,,,,,,,
Mirage,2018,Oriol Paulo,6.47,6.5,6.5,,,,,,6.4,,,
Corpse Bride,,Tim Burton,6.47,5.5,,6.9,,,,,,7,,
Cinderella,2015,,6.47,6.7,,6.3,,,,,6.4,,,
Arrival,2016,Denis Villeneuve,6.47,5.6,,6.9,,6.9,,,,,,
The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,6.47,6.1,,,6.7,6.6,,,,,,
Outlaw King,2018,David Mackenzie,6.45,7,5.9,,,,,,,,,
The King,2019,David Michôd,6.45,6.4,,,,,,,6.5,,,
big daddy,,,6.45,5.9,,,7,,,,,,,
Mulan,,,6.45,6.5,,6.4,,,,,,,,
Side Effects,2013,Steven Soderbergh,6.45,6.7,,,,6.2,,,,,,
3.6,2019,,6.45,6.1,,,6.8,,,,,,,
Dunkirk,2017,Christopher Nolan,6.43,6.7,5,6.5,7.1,6.9,,,6.4,,,
American Hustle,2013,David O. Russell,6.43,6.3,,6.5,,6.5,,,,,,
Source Code,2011,Duncan Jones,6.4,5.6,6.4,,,7,,,6.6,,,
The Quick and the Dead,1995,Sam Raimi,6.4,,,,,6.4,,,,,,
The Conjuring: The Devil Made Me Do It,2021,Michael Chaves,6.4,,,,,6.4,,,,,,
Primal Fear,1996,Gregory Hoblit,6.4,,,,,6.4,,,,,,
Lucky Number Slevin,2006,Paul McGuigan,6.4,,,,,6.4,,,,,,
Greyhound,2020,Aaron Schneider,6.4,,,,,6.4,,,,,,
the edge,1997,,6.4,6.4,,,,,,,,,,
oblivion,2013,,6.4,6.4,,,,,,,,,,
